9: лицу
9: каком
9: чрезвычайно
9: сон
9: единственно
9: изнутри
9: громко
9: заперта
9: услышали
9: убийства
9: крайне
9: убийцы
9: бежать
9: раму
9: результате
9: ясная
9: чувствовал
9: борта
9: корабля
9: решено
9: куски
9: неоднократно
9: жажды
9: недели
9: брига
9: капитаном
9: большим
9: каюты
9: люку
9: тигра
9: бунтовщики
9: товарищей
9: черепаху
9: трепангов
9: деревни
9: туземцев
9: министр
9: смартфон
8: станции
8: ехать
8: филипп
8: поезде
8: возразил
8: очертания
8: негра
8: вслед
8: нарракотт
8: дает
8: тайна
8: взглядом
8: вести
8: скале
8: навстречу
8: поднялась
8: настежь
8: коридора
8: собственной
8: говорила
8: беспокойство
8: пергамента
8: поближе
8: отправились
8: доктору
8: закрыл
8: приехать
8: черт
8: рассчитывал
8: черные
8: спальне
8: номер
8: ждали
8: экспресс
8: едет
8: вскочил
8: глубь
8: рэтчетт
8: понимаете
8: снаружи
8: бука
8: остается
8: некий
8: скажете
8: угодно
8: проводника
8: опустил
8: нижней
8: право
8: путешествие
8: началом
8: очередь
8: собственно
8: поспешно
8: упоминал
8: держалась
8: нечего
8: арбэтнот
8: горы
8: приходится
8: возле
8: непременно
8: удивление
8: чувств
8: простой
8: вероятности
8: отчаяния
8: начале
8: намерен
8: экспедиции
8: месяцев
8: встретил
8: цель
8: причины
8: искал
8: брат
8: попросить
8: подробно
8: подобного
8: высокой
8: какого
8: долю
8: спутника
8: поднять
8: северу
8: стремительно
8: быстротой
8: углом
8: вершины
8: обломки
8: описать
8: признаться
8: мгновенно
8: падения
8: мнения
8: ровно
8: налетел
8: мачты
8: ужасом
8: держаться
8: огромная
8: правый
8: способности
8: испытывал
8: никому
8: ждал
8: туман
8: предметов
8: надежда
8: держался
8: попытался
8: спастись
8: накануне
8: следов
8: собаки
8: предположить
8: доброй
8: чарльза
8: чарльз
8: пришло
8: записки
8: найдется
8: цепи
8: игра
8: ведет
8: заставить
8: длину
8: вилл
8: протянул
8: ,
8: капли
8: постель
8: пробраться
8: добрался
8: обычной
8: досок
8: половиной
8: сдвинуть
8: поражен
8: бросили
8: исследовать
8: пальцы
8: запись
8: сумел
8: левого
8: приключений
8: убедился
8: приблизительно
