4019: –
8: уходит
8: настоящий
8: лучшее
8: оборудование
8: «спальник»
8: питание
8: пейн
8: вести
8: ганрайский
8: задумался
8: девушки
8: спину
8: тему
8: офицеров
8: означало
8: рядовой
8: немало
8: правы
8: треммы
8: хмыкнул
8: получилось
8: крепко
8: вещи
8: счет
8: уме
8: ожидать
8: правильно
8: говорила
8: зубы
8: стоило
8: дорогу
8: находиться
8: возле
8: выяснить
8: повезло
8: понимал
8: практикантов
8: звуки
8: теория
8: собственной
8: взглянула
8: невесомости
8: необходимости
8: останется
8: поблизости
8: космосе
8: ктонибудь
8: шаг
8: ночи
8: события
8: дочь
8: заговорил
8: подобное
8: способен
8: позднее
8: планетах
8: следил
8: означает
8: землей
8: странное
8: коечто
8: итоге
8: опыт
8: причем
8: одновременно
8: поле
8: использовал
8: ума
8: днем
8: возраст
8: значения
8: полную
8: встал
8: ждет
8: покинуть
8: шел
8: энергию
8: условиях
8: заметить
8: горячка
8: города
8: такую
8: зря
8: шектом
8: существует
8: речи
8: добиться
8: опасности
8: стороне
8: совет
8: орбиту
8: буря
8: понадобится
8: плюс
8: требовалось
8: растения
8: предстоит
8: последняя
8: пошел
8: отправилась
8: взглянув
8: колеса
8: любой
8: секторе
8: нужна
8: решили
8: двадцати
8: положении
8: своему
8: «арес»
8: многое
8: набор
8: эээ…
8: очевидно
8: поднялась
8: ватт
8: 100
8: тепло
8: передо
8: принес
8: гидразина
8: раза
8: смогла
8: вопросительно
8: задания
8: видела
8: прошлом
8: медицинский
8: висари
8: хмыкнула
8: шею
8: стая
8: леопарда
8: орудия
8: флора
8: месстер
8: говорите
8: лаборант
7: кэти
7: капур
7: директор
7: спутников
7: последних
7: единственная
7: обязательно
7: идеи
7: центра
7: сообщение
7: вмешался
7: первая
7: начнем
7: опасно
7: вес
7: сорок
7: следующего
7: представлял
7: возвращения
7: памяти
7: непонятно
7: «спальника»
7: всякий
7: закончил
7: глубоко
7: форме
7: сообразил
7: луч
7: избежать
7: ровным
7: общем
7: учили
7: лейтенанта
7: благодарю
7: случайно
7: ответа
7: «джулиан»
7: превратился
7: выглядит
7: пассажиров
7: пыталась
7: значительно
7: удавалось
7: сравнению
7: жест
7: начало
7: оттуда
7: подошел
7: воздухе
7: данные
7: доказать
7: первых
7: звучит
7: движения
7: сознании
7: смысл
7: сделали
7: способности
7: ждал
7: сияние
7: успел
7: поверить
7: беспокойство
7: новое
7: ощущение
7: шахматы
7: пространство
7: нахмурившись
7: существуют
7: говорят
7: двумя
7: устал
7: проверка
7: семье
7: хватало
7: прибыл
7: преследователя
7: оружия
7: убить
7: сознания
7: думали
7: институт
7: дороге
7: выражение
7: убил
7: обладал
7: труп
7: чики
7: страхом
7: рук
7: обработке
7: агент
7: признаков
7: говорили
7: чужаков
7: имени
7: некоторых
7: теории
7: различные
7: является
7: многие
7: миллион
7: приходится
7: заметили
7: продержаться
7: дважды
7: порядок
7: исключительно
7: ежедневно
7: тарелки
7: наличии
7: металла
7: роста
7: дерьмо
7: недель
7: шлюза
7: заслужил
7: умер
7: когданибудь
7: йоханссен
7: итого
7: небо
7: полета
7: газеты
7: луны
7: салон
7: испытывал
7: жизнью
7: выхода
7: продолжала
7: орбите
7: неуверенно
7: убедившись
7: дмитрий
7: сидели
7: власти
7: уровня
7: включил
7: остались
7: посмотрев
7: каждому
7: замерла
7: дали
7: показала
7: жилому
7: задача
7: «космической
7: началась
7: выбор
7: кларка
7: разума
7: монолита
7: желания
7: мартинез
7: идеально
7: обогреватель
7: эксперимент
7: радиоактивной
7: штука
7: резервуара
7: гидразином
7: конца
7: исчезла
7: шанс
7: единственное
7: химик
7: какойнибудь
7: опасность
